"","name","religion","geometry"
"112","Highgate Synagogue","jewish",c(-0.150314001018297, 51.5741010948956)
"113","Croydon & District Synagogue","jewish",c(-0.0516763874847916, 51.3751357453451)
"114","Zera Avraham Messianic Synagogue","jewish",c(-0.143173839333892, 51.3195669804439)
"115","Richmond United Syangogue","jewish",c(-0.299652487559087, 51.4622222454541)
"116","United Synagogue","jewish",c(-0.131978761452784, 51.6373943814674)
"117","Synagogue of the Congregation of Jacob","jewish",c(-0.0538731489906126, 51.5144697566895)
"118","The Chelsea Synagogue","jewish",c(-0.162805313330958, 51.4881817121115)
"119","Wimbledon Mosque","muslim",c(-0.1972458, 51.4364908)
"120","Balham Mosque","muslim",c(-0.1491658, 51.4465338)
"121","Acton Mosque","muslim",c(-0.2701464, 51.5066741)
"122","Camberwell Islamic Centre","muslim",c(-0.0944046, 51.4787255)
"123","Shahjalal Jame Masjid Euston Mosque","muslim",c(-0.1374519, 51.527302)
"124","The Muslim community Centre & Mosque","muslim",c(0.0319951, 51.5441876)
"125","Leyton Jamia Masjid","muslim",c(-0.0098295, 51.5611335)
"126","Greenwich Islamic Centre","muslim",c(0.082589, 51.4903717)
"127","Kingston Mosque","muslim",c(-0.2978722, 51.415705)
"128","Nasrul-Lahi-i-Fathi Society of Nigeria","muslim",c(-0.0802016, 51.4945109)
"129","King's Cross Mosque and Islamic Centre","muslim",c(-0.1212167, 51.528205)
"130","Al-Birr","muslim",c(-0.0169541, 51.5633678)
"131","Palmers Green Mosque","muslim",c(-0.1046737, 51.6152904)
"132","Baitul Aman Mosque","muslim",c(-0.0527433, 51.5250755)
"133","Somers Town Islamic Cultural and Education Centre","muslim",c(-0.1306907, 51.5296019)
"134","Battersea Mosque","muslim",c(-0.1703216, 51.4676248)
"135","Ezzeitouna","muslim",c(-0.2498237, 51.514035)
"136","Baitul Mamur Academy","muslim",c(-0.0498609, 51.5284709)
"137","Mosque of the Embassy of Qatar","muslim",c(-0.1876873, 51.4924531)
"138","Tooting Islamic Centre","muslim",c(-0.1626528, 51.4317002)
"139","Limehouse Mosque","muslim",c(-0.0283613, 51.5101394)
"140","Bilal Masjid Trust (Greenford)","muslim",c(-0.3310905, 51.5504229)
"141","Brixton Hill Islamic Centre","muslim",c(-0.1240323, 51.4487467)
"142","Peckham High Street Islamic Centre","muslim",c(-0.0677412, 51.4737541)
"143","North Brixton Islamic Cultural Centre","muslim",c(-0.1130421, 51.4739674)
"144","Coventry Cross Mosque","muslim",c(-0.0146564, 51.5228703)
"145","Al-Nehar Mosque & Education Centre","muslim",c(-0.1195718, 51.5326411)
"146","Islamic Centre Upton Park","muslim",c(0.0244477, 51.5338497)
"147","Makkah Masjid Mitcham","muslim",c(-0.1641168, 51.4074854)
"148","Al-Madina Mitcham Islamic Centre","muslim",c(-0.151788, 51.416716)
"149","Al Muzzamil Mosque","muslim",c(-0.1676225, 51.4302527)
"150","Mevlana Rumi","muslim",c(-0.0623249, 51.6206823)
"151","Hussainiyat Al-Rasool Al-Adham","muslim",c(-0.193549, 51.5716165)
"152","World Muslim League (London office)","muslim",c(-0.1359108, 51.5194617)
"153","Hackney Central Masjid","muslim",c(-0.0469229, 51.5443148)
"154","Hoxton Islah","muslim",c(-0.0836774, 51.5294969)
"155","Islamic Cultural Centre Neasden","muslim",c(-0.2504888, 51.5595705)
"156","Imambargah Al-Hasan Mosque","muslim",c(-0.3771286, 51.5055806)
"157","Islamic Centre of Edgware","muslim",c(-0.273775, 51.6080091)
"158","Al-Hudaa Islamic Prayer Group","muslim",c(-0.0442198, 51.5479731)
"159","Baitul Amn Mosque","muslim",c(-0.4660967, 51.5233455)
"160","Bow Central Mosque","muslim",c(-0.0145175, 51.529195)
"161","White City Musalla","muslim",c(-0.234702, 51.5121249)
"162","Masjid Almukhbiteen","muslim",c(-0.2339036, 51.5065991)
"163","Taj Daar e Madina","muslim",c(-0.1653906, 51.4260572)
"164","London Central Mosque","muslim",c(-0.165022863508856, 51.5289669273533)
"165","Baitul Futuh Mosque","muslim",c(-0.199215485151559, 51.396635235385)
"166","Islamic Centre of England","muslim",c(-0.189029850786624, 51.535424672)
"167","Peckham Islamic Centre","muslim",c(-0.0696180148065043, 51.4673988981794)
"168","Husseini mosque","muslim",c(-0.363971995690232, 51.542661294938)
"169","Holborn Muslim Community & Welfare Association","muslim",c(-0.111443250580745, 51.5193094654984)
"170","Finsbury Park Mosque","muslim",c(-0.105643137451868, 51.5635751954695)
"171","Mosque and Islamic Centre of Brent","muslim",c(-0.216468135007865, 51.5556738115411)
"172","UK Albanian Muslim Community & Cultural Centre","muslim",c(-0.201225256338096, 51.5327937427935)
"173","Gousul Azzam Mosque","muslim",c(-0.0726474572340329, 51.4573916122722)
"174","The Lebanese Welfare Community","muslim",c(-0.195925473071492, 51.5373555729968)
"175","New Peckham Mosque","muslim",c(-0.0762000633508315, 51.484450323887)
"176","Imam Khoei Islamic Centre","muslim",c(-0.209861458649246, 51.5394144920215)
"177","Central Mosque of Brent","muslim",c(-0.223858204585493, 51.5498681866301)
"178","Harrow Road Jamme Mosque","muslim",c(-0.205317926278824, 51.528504378233)
"179","Central Mosque Wembley","muslim",c(-0.297858497715818, 51.5503381946984)
"180","Masjid Ayesha","muslim",c(-0.0785400757341512, 51.5877619395791)
"181","London Islamic Cultural Society","muslim",c(-0.109231552674565, 51.5872994666662)
"182","Shacklewell Lane Mosque","muslim",c(-0.073992358858046, 51.5509638666259)
"183","Qurani Murkuz","muslim",c(0.028584175329226, 51.5929424979494)
"184","Masjid-e-Umer","muslim",c(-0.0232779560310682, 51.5784425087825)
"185","Bait-ul-Aziz Islamic Cultural Centre","muslim",c(-0.0943931243239762, 51.4975105949858)
"186","Markazi Mosque","muslim",c(-0.0643661644129707, 51.5116915110169)
