"","name","type","geometry"
"134","Museum: Leighton House Museum","museum",c(-0.203101800253152, 51.4986091518456)
"135","Museum: Garden Museum","museum",c(-0.119982534357394, 51.4949825855649)
"136","Museum: Elephant West","museum",c(-0.224645319071333, 51.5123509068607)
"137","Museum: RAF Museum","museum",c(-0.23860512643256, 51.5979090444694)
"138","Museum: Apsley House","museum",c(-0.151730687562787, 51.5034922317726)
"139","Museum: Wimbledon Lawn Tennis Museum","museum",c(-0.213437665601972, 51.4347389903324)
"140","Museum: Royal Institution and Faraday Museum","museum",c(-0.142382506246759, 51.509807001688)
"141","Museum: 18 Stafford Terrace","museum",c(-0.196874348729357, 51.500484608762)
"142","Museum: The Musical Museum","museum",c(-0.29313487221275, 51.4878347902947)
"143","Museum: Battle of Britain Bunker - RAF Uxbridge","museum",c(-0.465037922948672, 51.5408980610234)
"144","Museum: Museum of London Docklands","museum",c(-0.023858533257407, 51.5076053974627)
"145","Museum: Brunel Museum","museum",c(-0.0529670833041216, 51.5016021625992)
"146","Museum: Honeywood House","museum",c(-0.165087073040731, 51.3652190690283)
"147","Museum: Metropolitan Police Heritage Centre","museum",c(-0.198463842755576, 51.4866104201699)
"148","Museum: Guildhall Art Gallery","museum",c(-0.0914143102520076, 51.5155560218229)
"149","Museum: Prince Henry's Room","museum",c(-0.110926261192212, 51.5137264420877)
"150","Museum: Emirates Aviation Experience","museum",c(0.00859125225117002, 51.4996561697744)
"151","Museum: London Fire Brigade Pop-up Museum","museum",c(-0.119798531477944, 51.492568580417)
"152","Museum: Dairy Wing","museum",c(0.0660998768257865, 51.5721483163725)
"153","Museum: Pollock's Toy Museum","museum",c(-0.135248209900541, 51.5203367924037)
"154","Museum: William Morris Gallery","museum",c(-0.0203484315230551, 51.5912948174436)
"155","Museum: Rainham Hall","museum",c(0.190791821043314, 51.5179358476387)
"156","Museum: National Maritime Museum","museum",c(-0.00541512012560392, 51.480760852119)
"157","Museum: Royal Museums Greenwich","museum",c(-0.00437610631016483, 51.4813411592039)
"158","Museum: Museum of Harrow Life","museum",c(-0.335333639353882, 51.5737713917793)
"159","Museum: London Canal Museum","museum",c(-0.120206903393187, 51.5342185712131)
"160","Museum: Fusiliers Museum","museum",c(-0.0752486178763322, 51.5083149890378)
"161","Museum: Churchill Museum and Cabinet War Rooms","museum",c(-0.129282995778359, 51.5022284197221)
"162","Museum: HMS Belfast ticket office","museum",c(-0.081438121311083, 51.5060269391689)
"163","Museum: Upminster Tithe Barn","museum",c(0.256967562924704, 51.5668264457982)
"164","Museum: Red House","museum",c(0.130337509579199, 51.4554230040945)
"165","Museum: Horniman Museum","museum",c(-0.0609735855988175, 51.4409969870635)
"166","Museum: Biggin Hill Memorial Museum","museum",c(0.0233608624621558, 51.3271432452923)
"167","Museum: The Jewish Museum","museum",c(-0.144600610959376, 51.5372980862627)
"168","Museum: Queen's House","museum",c(-0.00372029753740459, 51.4811332376872)
"169","Museum: Jack the Ripper Museum","museum",c(-0.0679105292861322, 51.5107850400979)
"170","Museum: Altazimuth Pavilion","museum",c(-0.000872687672476791, 51.477338033602)
"171","Museum: Astronomy Centre","museum",c(-0.00053083213721704, 51.4768447724359)
"172","Museum: Flamsteed House","museum",c(-0.00199820372942897, 51.4779692167894)
"173","Museum: The Transit House","museum",c(-0.001489581344312, 51.4778241496365)
"174","Museum: Royal Observatory Greenwich","museum",c(-0.00115288573597037, 51.477405683415)
"175","Museum: Telescope Gallery","museum",c(-0.00165511763205788, 51.4778421537999)
"176","Museum: Great Equatorial Building","museum",c(-0.0011586972805768, 51.4777293395026)
"177","Museum: Tudor Courtyard","museum",c(-0.21585972969771, 51.4705732949989)
"178","Museum: Clapham South Deep Level Shelter","museum",c(-0.147410195598953, 51.4534784563929)
"179","Museum: The Cinema Museum","museum",c(-0.105090674404496, 51.4923211862757)
"180","Museum: Institute of Physics","museum",c(-0.120583545404545, 51.5323127418321)
"181","Museum: Tower Bridge Exhibition","museum",c(-0.0753533330289167, 51.5059158911438)
"182","Museum: Waterloo Block","museum",c(-0.0760159877886524, 51.5085962915627)
"183","Museum: Valence House","museum",c(0.134238923677326, 51.5582623699023)
"184","Museum: Ragged School Museum","museum",c(-0.035710490413801, 51.5188068800553)
"185","Museum: Museum of Brands","museum",c(-0.211004676726965, 51.5162738853511)
"186","Museum: Wimbledon Windmill Museum","museum",c(-0.231637670095504, 51.4376675007889)
"187","Museum: Heath Robinson Museum","museum",c(-0.386677313595024, 51.592710209704)
"188","Museum: Museum of Wimbledon","museum",c(-0.216645726767983, 51.4233471212544)
"189","Museum: London Mithraeum","museum",c(-0.0906374554540296, 51.5124842731732)
"190","Museum: Wandle Industrial Museum","museum",c(-0.168066773729513, 51.4022747977665)
"191","Museum: Kempton Steam Museum","museum",c(-0.404754744280602, 51.4258401727332)
"192","Museum: Paul Stolper","museum",c(-0.126000305801227, 51.5179062631612)
"193","Museum: Camera Museum","museum",c(-0.125226094795276, 51.5176950824945)
"194","Museum: Harrow Museum","museum",c(-0.354289790365188, 51.5945601707126)
"195","Museum: The Museum of Philatelic History","museum",c(-0.150048876375025, 51.5214572648337)
"196","Museum: Polish Institute and Sikorski Museum","museum",c(-0.172871635876659, 51.501427949191)
"197","Museum: Design Museum","museum",c(-0.200173760202791, 51.4998874886677)
"198","Museum: Museum of the Home","museum",c(-0.0763940054684073, 51.5315813595166)
"199","Museum: The Eel Pie Island Museum","museum",c(-0.325629765239861, 51.4483685761074)
"200","Museum: Chelsea FC Museum and Stadium Tours","museum",c(-0.191285847456174, 51.4827773693388)
"201","Museum: London Museum of Water and Steam","museum",c(-0.290475839979151, 51.4889801215789)
"202","Museum: South London Botannical Institute","museum",c(-0.105087525783756, 51.4421835025092)
"203","Museum: The Faraday Effect","museum",c(0.00828187158515387, 51.5076555635038)
"204","Museum: RAF Hornchurch Heritage Centre","museum",c(0.215987479913132, 51.5458701606853)
