"","name","religion","geometry"
"167","Patmos Gemeinde","protestant",c(13.3165397690882, 52.4653379071979)
"168","Advent-Kirche","protestant",c(13.4441072703032, 52.530379757909)
"169","Sankt-Johannis-Kirche","protestant",c(13.3497803356062, 52.5250381035631)
"170","Philipp-Melanchthon Kirche","protestant",c(13.4339407918836, 52.4657740021288)
"171","Paulus-Kirche","protestant",c(13.31524154077, 52.4377332981995)
"172","Dorfkirche Lichterfelde","protestant",c(13.3147887726752, 52.4369497100262)
"173","Dorfkirche Lankwitz","protestant",c(13.3541808357269, 52.4388775237648)
"174","Dorfkirche Zehlendorf","protestant",c(13.2598694021746, 52.4355383112956)
"175","Martinus-Kirche","protestant",c(13.2834587713859, 52.5780643294502)
"176","Paul-Gerhardt-Kirche","protestant",c(13.3488601965494, 52.4829337938471)
"177","Dorfkirche Alt-Schöneberg","protestant",c(13.3494828914553, 52.4829955205186)
"178","Evangelische Silas-Kirche","protestant",c(13.3653840460542, 52.4913364233188)
"179","Ernst-Moritz-Arndt-Kirche","protestant",c(13.2512687824318, 52.4487233122911)
"180","Kapelle","protestant",c(13.3675934737168, 52.4906985713801)
"181","Zwingli-Kirche","protestant",c(13.4545826298741, 52.5034679994934)
"182","Trinitatiskirche","protestant",c(13.3105815087535, 52.5083663325313)
"183","Ev. Kirche Zur frohen Botschaft","protestant",c(13.5284324832393, 52.4853266208388)
"184","Trinitatis Kirchengemeinde Berlin","protestant",c(13.3137726824772, 52.5083215865276)
"185","Dorfkirche Stralau","protestant",c(13.4791471978475, 52.4911755654068)
"186","Ev. Matthäuskirche","protestant",c(13.3177466507354, 52.4562685239415)
"187","Friedhofskapelle","protestant",c(13.4782858947719, 52.4913931821494)
"188","Hoffnungskirche","protestant",c(13.4188825859681, 52.559969367707)
"189","Dorfkirche Rosenthal","protestant",c(13.378052702341, 52.5995420498701)
"190","Lukaskirche","protestant",c(13.3360230318952, 52.4590796781451)
"191","Dorfkirche Lietzow","protestant",c(13.3129574897525, 52.5181016775759)
"192","Luisenkirche","protestant",c(13.3024839524498, 52.5172123412566)
"193","Gustav-Adolf-Kirche","protestant",c(13.2989595960606, 52.5283472297887)
"194","Heilandskirche","protestant",c(13.339878581719, 52.5260526260839)
"195","Emmaus-Kirche","protestant",c(13.4321331775949, 52.462865396439)
"196","Evangelische Fürbitt-Kirchengemeinde","protestant",c(13.4261200849805, 52.4590237038461)
"197","Magdalenenkirche","protestant",c(13.4417020186349, 52.4721489225697)
"198","Evangeliumskirche","protestant",c(13.3761781176875, 52.5696916354212)
"199","Kirche am Stölpchensee","protestant",c(13.1414131627177, 52.4119164918278)
"200","Gnade-Christi-Kirche Borsigwalde","protestant",c(13.3039902173661, 52.5854073683821)
"201","Erlöserkirche","protestant",c(13.4812228269524, 52.5014254113276)
"202","Dorfkirche Friedrichsfelde Evangl. Paul-Gerhardt-Gemeinde","protestant",c(13.5192884160686, 52.5059260728146)
"203","Dorfkirche","protestant",c(13.3573506195501, 52.6206919947366)
"204","Johann-Sebastian-Bach-Kirche","protestant",c(13.2976859605673, 52.4240963616802)
